Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.7450e-06,830,-180,-1.06,2.28
-4.7440e-06,850,-184,-1.02,2.28
-4.7430e-06,810,-180,-1.06,2.28
-4.7420e-06,830,-176,-0.98,2.36
-4.7410e-06,790,-156,-1.02,2.36
-4.7400e-06,850,-136,-0.9,2.44
-4.7390e-06,790,-100,-0.98,2.44
-4.7380e-06,830,-72,-0.94,2.52
-4.7370e-06,850,-48,-0.9,2.44
-4.7360e-06,850,-16,-0.94,2.6
-4.7350e-06,810,8,-0.98,2.44
-4.7340e-06,810,8,-1.02,2.68
-4.7330e-06,790,20,-1.06,2.68
-4.7320e-06,830,20,-1.06,2.68
-4.7310e-06,810,32,-1.06,2.76
-4.7300e-06,830,52,-1.06,2.84
-4.7290e-06,790,68,-1.06,2.76
-4.7280e-06,770,84,-1.1,2.84
-4.7270e-06,810,124,-1.06,2.76
-4.7260e-06,810,144,-1.06,3
-4.7250e-06,790,172,-1.06,2.76
-4.7240e-06,830,184,-1.02,2.84
-4.7230e-06,790,196,-1.02,2.84
-4.7220e-06,810,200,-1.02,2.84
-4.7210e-06,790,204,-1.02,2.84
-4.7200e-06,790,196,-1.06,3.08
-4.7190e-06,810,184,-1.14,3
-4.7180e-06,790,180,-1.14,2.92
-4.7170e-06,810,184,-1.14,2.92
-4.7160e-06,830,184,-1.18,2.92
-4.7150e-06,810,172,-1.26,2.92
-4.7140e-06,830,164,-1.18,2.76
-4.7130e-06,830,184,-1.14,2.92
-4.7120e-06,850,188,-1.06,2.92
-4.7110e-06,810,188,-1.1,2.84
-4.7100e-06,810,188,-0.9,2.84
-4.7090e-06,790,188,-0.82,2.84
-4.7080e-06,810,184,-0.86,2.84
-4.7070e-06,790,188,-0.86,2.76
-4.7060e-06,830,180,-0.9,2.92
-4.7050e-06,790,184,-0.98,2.76
-4.7040e-06,810,176,-0.9,2.76
-4.7030e-06,790,172,-0.86,2.92
-4.7020e-06,810,172,-0.9,2.92
-4.7010e-06,810,168,-0.86,2.84
-4.7000e-06,790,180,-0.78,2.84
-4.6990e-06,790,176,-0.78,2.92
-4.6980e-06,870,184,-0.74,2.92
-4.6970e-06,790,188,-0.7,2.76
-4.6960e-06,810,192,-0.66,2.84
-4.6950e-06,810,192,-0.66,2.84
-4.6940e-06,870,188,-0.66,2.84
-4.6930e-06,850,176,-0.7,2.92
-4.6920e-06,810,184,-0.66,2.76
-4.6910e-06,810,176,-0.74,2.76
-4.6900e-06,830,176,-0.7,2.76
-4.6890e-06,810,172,-0.74,2.68
-4.6880e-06,830,176,-0.74,2.84
-4.6870e-06,810,176,-0.74,2.76
