LECROYHDO8108A,60934,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,23-Dec-2021 15:57:23,0                 
Time,Ampl
6.91096221e-05,3.436
6.91097221e-05,3.43562
6.91098221e-05,3.4355
6.91099221e-05,3.43575
6.91100221e-05,3.436
6.91101221e-05,3.43625
6.91102221e-05,3.43637
6.91103221e-05,3.43625
6.91104221e-05,3.436
6.91105221e-05,3.43575
6.91106221e-05,3.43562
6.91107221e-05,3.43562
6.91108221e-05,3.436
6.91109221e-05,3.43675
6.91110221e-05,3.43788
6.91111221e-05,3.43975
6.91112221e-05,3.442
6.91113221e-05,3.44463
6.91114221e-05,3.44725
6.91115221e-05,3.44925
6.91116221e-05,3.45
6.91117221e-05,3.44937
6.91118221e-05,3.44738
6.91119221e-05,3.44463
6.91120221e-05,3.442
6.91121221e-05,3.44037
6.91122221e-05,3.44025
6.91123221e-05,3.44163
6.91124221e-05,3.444
6.91125221e-05,3.44663
6.91126221e-05,3.44863
6.91127221e-05,3.44975
6.91128221e-05,3.45
6.91129221e-05,3.44975
6.91130221e-05,3.4495
6.91131221e-05,3.4495
6.91132221e-05,3.45
6.91133221e-05,3.4505
6.91134221e-05,3.45038
6.91135221e-05,3.44963
6.91136221e-05,3.448
6.91137221e-05,3.44625
6.91138221e-05,3.44488
6.91139221e-05,3.44475
6.91140221e-05,3.446
6.91141221e-05,3.44825
6.91142221e-05,3.45087
6.91143221e-05,3.453
6.91144221e-05,3.454
6.91145221e-05,3.45388
6.91146221e-05,3.453
6.91147221e-05,3.45225
6.91148221e-05,3.452
6.91149221e-05,3.45263
6.91150221e-05,3.454
6.91151221e-05,3.45525
6.91152221e-05,3.456
6.91153221e-05,3.45575
6.91154221e-05,3.45463
6.91155221e-05,3.45313
6.91156221e-05,3.452
6.91157221e-05,3.45162
6.91158221e-05,3.45213
6.91159221e-05,3.45313
6.91160221e-05,3.454
6.91161221e-05,3.45412
6.91162221e-05,3.45337
6.91163221e-05,3.45175
6.91164221e-05,3.45
6.91165221e-05,3.4485
6.91166221e-05,3.44775
6.91167221e-05,3.44775
6.91168221e-05,3.448
6.91169221e-05,3.44825
6.91170221e-05,3.448
6.91171221e-05,3.44725
6.91172221e-05,3.446
6.91173221e-05,3.44475
6.91174221e-05,3.444
6.91175221e-05,3.44375
6.91176221e-05,3.444
6.91177221e-05,3.44463
6.91178221e-05,3.44537
6.91179221e-05,3.44588
6.91180221e-05,3.446
6.91181221e-05,3.44575
6.91182221e-05,3.445
6.91183221e-05,3.44375
6.91184221e-05,3.442
6.91185221e-05,3.43962
6.91186221e-05,3.437
6.91187221e-05,3.43425
6.91188221e-05,3.432
6.91189221e-05,3.43075
6.91190221e-05,3.43075
6.91191221e-05,3.43188
6.91192221e-05,3.434
6.91193221e-05,3.43625
6.91194221e-05,3.438
6.91195221e-05,3.43863
6.91196221e-05,3.438
6.91197221e-05,3.4365
6.91198221e-05,3.4345
6.91199221e-05,3.43288
6.91200221e-05,3.432
6.91201221e-05,3.432
6.91202221e-05,3.43263
6.91203221e-05,3.4335
6.91204221e-05,3.434
6.91205221e-05,3.434
6.91206221e-05,3.43338
6.91207221e-05,3.4325
6.91208221e-05,3.432
6.91209221e-05,3.43213
6.91210221e-05,3.433
6.91211221e-05,3.4345
